ID,Ogranizacija
1,Queen's Gambit Club
2,Fischer's Followers Foundation
3,The Chessboard Collective
4,The Rookery Chess League
5,King's Gambit Society
6,Chess Legends Network
7,Pawn to Queen Initiative
8,World Chess Champions Association
9,The Grandmaster's Guild
10,Fischer's Followers Foundation
11,The Chessboard Collective
12,Victory Square Chess Club
13,Mind Masters Chess Federation
14,Strategic Chess Alliance
15,Fischer's Followers Foundation
16,King's Gambit Society
17,Checkmate Enthusiasts League
18,Royal Rook Chess Society
19,Deep Thinkers Chess Union
20,Mind Masters Chess Federation
21,Knight Masters Club
22,Check and Mate Association
23,Royal Rook Chess Society
24,Queen's Gambit Club
25,Golden Knights Chess Foundation
26,Chess Legends Network
27,Knight Masters Club
28,Deep Thinkers Chess Union
29,Deep Thinkers Chess Union
30,Knight Masters Club
31,Queen's Gambit Club
32,The Rookery Chess League
33,Pawn to Queen Initiative
34,Checkmate Enthusiasts League
35,Deep Thinkers Chess Union
36,Chess Innovators Network
37,Deep Thinkers Chess Union
38,International Chess Scholars
39,Queen's Gambit Club
40,Golden Knights Chess Foundation
41,Queen's Gambit Club
42,Endgame Experts Guild
43,Advanced Play Chess Academy
44,Global Chess Federation
45,World Chess Champions Association
46,Elite Chess Strategists Network
47,Global Pawn Pushers Group
48,Golden Knights Chess Foundation
49,The Grandmaster's Guild
50,The Rookery Chess League
